filename,out_stem
40-летие космического полёта Ю.А. Гагарина ММД — аверс.jpg,10r-2001-40-letie-kosmicheskogo-poleta-yu-a-gagarina-mmd-obverse
40-летие космического полёта Ю.А. Гагарина реверс.jpg,10r-2001-40-letie-kosmicheskogo-poleta-yu-a-gagarina-reverse
40-летие космического полёта Ю.А. Гагарина СПМД — аверс.png,10r-2001-40-letie-kosmicheskogo-poleta-yu-a-gagarina-obverse
55 лет Победы в ВОВ (Политрук) — реверс.jpg,10r-2000-55-let-pobedy-v-vov-politruk-reverse
55 лет Победы в ВОВ (Политрук) ММД — аверс.png,10r-2000-55-let-pobedy-v-vov-politruk-obverse
55 лет Победы в ВОВ (Политрук) спмд — аверс.png,10r-2000-55-let-pobedy-v-vov-politruk-spmd-obverse
60 лет Победы в ВОВ (никто не забыт) — реверс.png,10r-2005-60-let-pobedy-v-vov-nikto-ne-zabyt-reverse
60 лет Победы в ВОВ (никто не забыт) ММД — аверс.png,10r-2005-60-let-pobedy-v-vov-nikto-ne-zabyt-obverse
60 лет Победы в ВОВ (никто не забыт) СПМД — аверс.png,10r-2005-60-let-pobedy-v-vov-nikto-ne-zabyt-spmd-obverse
Боровск — аверс.png,10r-2005-borovsk-obverse
Боровск — реверс.png,10r-2005-borovsk-reverse
Вооруженные силы — аверс.png,10r-2002-vooruzhennye-sily-obverse
Вооруженные силы — реверс.jpg,10r-2002-vooruzhennye-sily-reverse
Дербент — аверс.jpg,10r-2002-derbent-obverse
Дербент — реверс.jpg,10r-2002-derbent-reverse
Дмитров — аверс.png,10r-2004-dmitrov-obverse
Дмитров — реверс.png,10r-2004-dmitrov-reverse
Дорогобуж — аверс.jpg,10r-2003-dorogobuzh-obverse
Дорогобуж — реверс.jpg,10r-2003-dorogobuzh-reverse
Калининград — аверс.jpg,10r-2005-kaliningrad-obverse
Калининград — реверс.avif,10r-2005-kaliningrad-reverse
Кемь — аверс.png,10r-2004-kem-obverse
Кемь — реверс.png,10r-2004-kem-reverse
Кострома — аверс.jpg,10r-2002-kostroma-obverse
Кострома — реверс.jpg,10r-2002-kostroma-reverse
Краснодарский край — аверс.avif,10r-2005-krasnodarskiy-kray-obverse
Краснодарский край — реверс.avif,10r-2005-krasnodarskiy-kray-reverse
Ленинградская область — аверс.avif,10r-2005-leningradskaya-oblast-obverse
Ленинградская область — реверс.avif,10r-2005-leningradskaya-oblast-reverse
Министерство внутренних дел — аверс.jpg,10r-2002-ministerstvo-vnutrennikh-del-obverse
Министерство внутренних дел — реверс.jpg,10r-2002-ministerstvo-vnutrennikh-del-reverse
Министерство иностранных дел — аверс.jpg,10r-2002-ministerstvo-inostrannykh-del-obverse
Министерство иностранных дел — реверс.jpg,10r-2002-ministerstvo-inostrannykh-del-reverse
Министерство образования — аверс.png,10r-2002-ministerstvo-obrazovaniya-obverse
Министерство образования — реверс.png,10r-2002-ministerstvo-obrazovaniya-reverse
Министерство финансов — аверс.png,10r-2002-ministerstvo-finansov-obverse
Министерство финансов — реверс.png,10r-2002-ministerstvo-finansov-reverse
Министерство эконом. развития — аверс.png,10r-2002-ministerstvo-ekonom-razvitiya-obverse
Министерство эконом. развития — реверс.png,10r-2002-ministerstvo-ekonom-razvitiya-reverse
Министерство юстиции — аверс.png,10r-2002-ministerstvo-yustitsii-obverse
Министерство юстиции — реверс.png,10r-2002-ministerstvo-yustitsii-reverse
Муром — аверс.png,10r-2003-murom-obverse
Муром — реверс.png,10r-2003-murom-reverse
Мценск — аверс.jpg,10r-2005-mtsensk-obverse
Мценск — реверс.avif,10r-2005-mtsensk-reverse
Орловская область — аверс.avif,10r-2005-orlovskaya-oblast-obverse
Орловская область — реверс.avif,10r-2005-orlovskaya-oblast-reverse
Псков — аверс.png,10r-2003-pskov-obverse
Псков — реверс.png,10r-2003-pskov-reverse
Республика Татарстан — аверс.avif,10r-2005-respublika-tatarstan-obverse
Республика Татарстан — реверс.avif,10r-2005-respublika-tatarstan-reverse
Ряжск — аверс.png,10r-2004-ryazhsk-obverse
Ряжск — реверс.png,10r-2004-ryazhsk-reverse
Старая Русса — аверс.png,10r-2002-staraya-russa-obverse
Старая Русса — реверс.png,10r-2002-staraya-russa-reverse
Тверская область — аверс.avif,10r-2005-tverskaya-oblast-obverse
Тверская область — реверс.avif,10r-2005-tverskaya-oblast-reverse